,Unnamed: 0,dataset_name,clust_tool,id,nt,num_seq,min_nt,max-nt,avg_nt,alphabet,word_width,word_ones,spaced,hashed,coded,stepped,slots,DBAccel,num_clusters,min_cluster_size,max_clust_size,avg_clust_size,num_singletons,perc_seqs_singleton,perc_cluster_singleton,run_time,max-mem
0,0,60species,upgma,0.95,5887,60,79,106,98.11666667,,,,,,,,,,59,1,2,0.9420362896908048,58,98.30%,100.0,308.219525729178,27
1,1,60x50,upgma,0.95,294350,3000,79,106,98.11666667,,,,,,,,,,59,50,100,26.06720416772416,0,0.00%,4.969611483218907,303.93650568469315,24
2,2,60x50mutinter,upgma,0.95,295469,3000,78,107,98.48966667,,,,,,,,,,2626,1,8,0.5879682950695,2365,90.10%,94.48748208205177,303.39553245503623,29
3,3,60x50mutstack,upgma,0.95,295525,3000,78,107,98.50833333,,,,,,,,,,2614,1,8,0.5588462994825157,2343,89.60%,95.07032437521524,303.8528242157951,24
4,4,Control-t1,upgma,0.95,357217,3467,42,243,103.0334583,,,,,,,,,,1186,1,62,2.736495089146522,652,22.10%,60.20718380146756,296.67159570927055,39
5,5,Control-t2,upgma,0.95,184893,1814,48,157,101.9255788,,,,,,,,,,820,1,37,1.1399133400410144,507,30.50%,66.80934056721097,306.46206019360017,33
6,6,GTZ-t1,upgma,0.95,382140,3843,40,269,99.43793911,,,,,,,,,,896,1,1260,3.686410990714101,522,22.20%,63.283596284143165,302.22520755352497,33
7,7,GTZ-t2,upgma,0.95,152136,1526,41,153,99.69593709,,,,,,,,,,721,1,41,1.5932664779291286,461,32.80%,68.73934063866915,300.54805762480373,34
8,8,Glyphosate-t1,upgma,0.95,514742,5025,41,277,102.4362189,,,,,,,,,,1309,1,264,1.97826712158243,713,18.60%,59.64689389675529,294.8419046712757,33
9,9,Glyphosate-t2,upgma,0.95,180842,1796,36,128,100.6915367,,,,,,,,,,868,1,41,1.203994324697042,571,34.20%,71.0282354317523,302.4956076458245,31
10,10,Hao_skin_axillary_hv5,upgma,0.95,1519427,1130,1241,1387,1344.625664,,,,,,,,,,1009,1,34,0.572866522929614,978,96.90%,100.0,306.6641845871129,35
11,11,Huse_gb_2007_8_7_r143_s2,upgma,0.95,32816656,340150,45,169,96.47701308,,,,,,,,,,2953,1,43353 (43.4k),59.00759338817272,1800,7.70%,66.02992392030475,292.3896895857542,272
12,12,QuinceArtficialGSFLXClean,upgma,0.95,9138642,34308,200,289,266.3705841,,,,,,,,,,74,1,6310,283.4845894643072,24,0.20%,37.48755757753925,296.19376372615363,85
13,13,QuincePriestPotGSFLXClean,upgma,0.95,4170828,16222,200,303,257.10935770000003,,,,,,,,,,758,1,2072,15.643597803461683,392,4.10%,56.132455077381145,300.4998801252618,54
14,14,Youssef,upgma,0.95,1684019,1132,952,1542,1487.649293,,,,,,,,,,1128,1,2,0.7315273276148301,1124,99.60%,100.0,297.72718360419435,34
15,15,60species,upgma,0.97,5887,60,79,106,98.11666667,,,,,,,,,,59,1,2,0.746669860701859,58,98.30%,100.0,294.22803658884317,17
16,16,60x50,upgma,0.97,294350,3000,79,106,98.11666667,,,,,,,,,,59,50,100,28.801340281796417,0,0.00%,5.1149053309618,310.96150633787624,26
17,17,60x50mutinter,upgma,0.97,295469,3000,78,107,98.48966667,,,,,,,,,,2626,1,8,0.8969118112729182,2365,90.10%,94.9375919043256,305.76370241330847,28
18,18,60x50mutstack,upgma,0.97,295525,3000,78,107,98.50833333,,,,,,,,,,2614,1,8,0.9128738976448538,2343,89.60%,94.67024937343379,295.83972331818194,27
19,19,Control-t1,upgma,0.97,357217,3467,42,243,103.0334583,,,,,,,,,,1553,1,37,1.9583830181656974,998,33.80%,69.5919104930073,293.6927870423306,36
20,20,Control-t2,upgma,0.97,184893,1814,48,157,101.9255788,,,,,,,,,,1026,1,36,1.100811504284166,736,44.20%,76.49831237873498,296.07664761584516,33
21,21,GTZ-t1,upgma,0.97,382140,3843,40,269,99.43793911,,,,,,,,,,1174,1,848,2.0326145331699594,769,32.70%,70.85951967292164,297.35297386618214,36
22,22,GTZ-t2,upgma,0.97,152136,1526,41,153,99.69593709,,,,,,,,,,891,1,37,1.3707419520769555,646,45.90%,77.74019312043426,299.98965588941405,29
23,23,Glyphosate-t1,upgma,0.97,514742,5025,41,277,102.4362189,,,,,,,,,,1822,1,201,1.535754170290314,1137,29.70%,67.9814316115746,293.99339225056514,39
24,24,Glyphosate-t2,upgma,0.97,180842,1796,36,128,100.6915367,,,,,,,,,,1090,1,29,1.0900659700457236,828,49.60%,81.23998213298549,302.5073564393091,32
25,25,Hao_skin_axillary_hv5,upgma,0.97,1519427,1130,1241,1387,1344.625664,,,,,,,,,,1009,1,34,0.6392709121340292,978,96.90%,100.0,303.65001161275035,38
26,26,Huse_gb_2007_8_7_r143_s2,upgma,0.97,32816656,340150,45,169,96.47701308,,,,,,,,,,5191,1,18301 (18.3k),48.97671364489688,3234,13.80%,67.43664104798536,295.9606427140191,277
27,27,QuinceArtficialGSFLXClean,upgma,0.97,9138642,34308,200,289,266.3705841,,,,,,,,,,161,1,5910,128.19709945439425,65,0.50%,45.29285641044162,301.29504980953226,80
28,28,QuincePriestPotGSFLXClean,upgma,0.97,4170828,16222,200,303,257.10935770000003,,,,,,,,,,1037,1,1761,12.56584170452566,580,6.10%,60.424075267747746,300.70134871221126,63
29,29,Youssef,upgma,0.97,1684019,1132,952,1542,1487.649293,,,,,,,,,,1128,1,2,0.6197204938646961,1124,99.60%,100.0,292.0991051384684,35
30,30,60species,upgma,0.99,5887,60,79,106,98.11666667,,,,,,,,,,59,1,2,0.5003625609578692,58,98.30%,100.0,309.2554236044535,22
31,31,60x50,upgma,0.99,294350,3000,79,106,98.11666667,,,,,,,,,,59,50,100,41.561476740148436,0,0.00%,5.163095027399487,301.20671959585763,26
32,32,60x50mutinter,upgma,0.99,295469,3000,78,107,98.48966667,,,,,,,,,,2626,1,8,0.5759149830429903,2365,90.10%,95.29849314413217,303.4099273113429,25
33,33,60x50mutstack,upgma,0.99,295525,3000,78,107,98.50833333,,,,,,,,,,2614,1,8,0.870957515610298,2343,89.60%,94.14911526190697,294.42396736114347,25
34,34,Control-t1,upgma,0.99,357217,3467,42,243,103.0334583,,,,,,,,,,2356,1,24,0.8566587777735727,1859,63.00%,84.20681377733644,301.25867087143536,38
35,35,Control-t2,upgma,0.99,184893,1814,48,157,101.9255788,,,,,,,,,,1395,1,13,0.6565542457244299,1194,71.80%,90.58812693681305,301.7257208920949,36
36,36,GTZ-t1,upgma,0.99,382140,3843,40,269,99.43793911,,,,,,,,,,1770,1,272,1.2104183549531717,1395,59.30%,83.7629184647122,296.9436421779415,40
37,37,GTZ-t2,upgma,0.99,152136,1526,41,153,99.69593709,,,,,,,,,,1184,1,21,0.7920124721682735,997,70.90%,89.20575733198639,301.412623144034,34
38,38,Glyphosate-t1,upgma,0.99,514742,5025,41,277,102.4362189,,,,,,,,,,2879,1,156,1.138140877038035,2214,57.80%,82.34862164248693,299.063924219188,36
39,39,Glyphosate-t2,upgma,0.99,180842,1796,36,128,100.6915367,,,,,,,,,,1423,1,28,1.0546313762460833,1231,73.80%,91.51344478885316,296.5616932637981,33
40,40,Hao_skin_axillary_hv5,upgma,0.99,1519427,1130,1241,1387,1344.625664,,,,,,,,,,1009,1,34,0.9472975316561245,978,96.90%,100.0,304.7627204628253,38
41,41,Huse_gb_2007_8_7_r143_s2,upgma,0.99,32816656,340150,45,169,96.47701308,,,,,,,,,,17051 (17.1k),1,25996 (26.0k),16.546959413969816,11766 (11.8k),50.20%,74.01701555448588,590.3947619570258,245
42,42,QuinceArtficialGSFLXClean,upgma,0.99,9138642,34308,200,289,266.3705841,,,,,,,,,,4038,1,2692,7.188517584517905,3023,24.50%,79.93112502220045,296.21079830746794,89
43,43,QuincePriestPotGSFLXClean,upgma,0.99,4170828,16222,200,303,257.10935770000003,,,,,,,,,,3432,1,1378,2.587160652766172,2517,26.60%,78.86975027802978,300.1094669797219,74
44,44,Youssef,upgma,0.99,1684019,1132,952,1542,1487.649293,,,,,,,,,,1128,1,2,0.7696497384432502,1124,99.60%,100.0,300.03491342717797,39
45,45,60species,upgma,0.995,5887,60,79,106,98.11666667,,,,,,,,,,59,1,2,0.7585901279169684,58,98.30%,100.0,298.8974535385757,21
46,46,60x50,upgma,0.995,294350,3000,79,106,98.11666667,,,,,,,,,,59,50,100,29.236934971076433,0,0.00%,4.5941786723295035,299.8170617397424,25
47,47,60x50mutinter,upgma,0.995,295469,3000,78,107,98.48966667,,,,,,,,,,2626,1,8,0.8719586897260917,2365,90.10%,95.19249305191418,298.0182795968556,23
48,48,60x50mutstack,upgma,0.995,295525,3000,78,107,98.50833333,,,,,,,,,,2614,1,8,0.7959072691920637,2343,89.60%,94.74791910711359,303.98501917666863,21
49,49,Control-t1,upgma,0.995,357217,3467,42,243,103.0334583,,,,,,,,,,2855,1,12,0.8198348837909154,2484,84.20%,91.73663470269803,294.14672577164663,37
50,50,Control-t2,upgma,0.995,184893,1814,48,157,101.9255788,,,,,,,,,,1639,1,6,0.5942119716552948,1513,90.90%,97.03417446048888,289.7215970960401,32
51,51,GTZ-t1,upgma,0.995,382140,3843,40,269,99.43793911,,,,,,,,,,2115,1,297,1.078797431285236,1814,77.10%,91.12431318357626,309.1022874789077,43
52,52,GTZ-t2,upgma,0.995,152136,1526,41,153,99.69593709,,,,,,,,,,1364,1,15,0.9079586891495747,1250,88.80%,96.60367129546654,293.9909711872633,32
53,53,Glyphosate-t1,upgma,0.995,514742,5025,41,277,102.4362189,,,,,,,,,,3486,1,188,0.7875802730898706,2959,77.30%,89.71016884940329,304.24871371683605,39
54,54,Glyphosate-t2,upgma,0.995,180842,1796,36,128,100.6915367,,,,,,,,,,1618,1,29,0.5547044806111473,1519,91.10%,98.98477764757452,301.1095252708093,34
55,55,Hao_skin_axillary_hv5,upgma,0.995,1519427,1130,1241,1387,1344.625664,,,,,,,,,,1009,1,34,0.8921056493916442,978,96.90%,100.0,303.94109162400963,37
56,56,Huse_gb_2007_8_7_r143_s2,upgma,0.995,32816656,340150,45,169,96.47701308,,,,,,,,,,19241 (19.2k),1,13669 (13.7k),10.33181575333263,13674 (13.7k),58.30%,75.94897830515805,871.7886266333857,269
57,57,QuinceArtficialGSFLXClean,upgma,0.995,9138642,34308,200,289,266.3705841,,,,,,,,,,9374,1,2120,3.13494492413308,7235,58.50%,82.15865708106755,304.821063879485,128
58,58,QuincePriestPotGSFLXClean,upgma,0.995,4170828,16222,200,303,257.10935770000003,,,,,,,,,,6126,1,759,1.8660127669782833,4991,52.70%,86.17228272645579,302.6522232486152,75
59,59,Youssef,upgma,0.995,1684019,1132,952,1542,1487.649293,,,,,,,,,,1128,1,2,0.5413882731475278,1124,99.60%,100.0,298.54157150599616,33
