dataset_name,clust_tool,id,nt,num_seq,min_nt,max-nt,avg_nt,alphabet,word_width,word_ones,spaced,hashed,coded,stepped,slots,DBAccel,num_clusters,min_cluster_size,max_clust_size,avg_clust_size,num_singletons,perc_seqs_singleton,perc_cluster_singleton,run_time,max-mem
60species,usearch,0.95,5887,60,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,2,1,58,98.30%,98.30%,1.00s,8.0Mb
60x50,usearch,0.95,294350,3000,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,50,100,50.8,0,0.00%,0.00%,1.00s,8.7Mb
60x50mutinter,usearch,0.95,295469,3000,78,107,98.48966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626,1,8,1.1,2365,90.10%,90.10%,1.00s,9.2Mb
60x50mutstack,usearch,0.95,295525,3000,78,107,98.50833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,1,8,1.1,2343,89.60%,89.60%,1.00s,9.2Mb
Control-t1,usearch,0.95,357217,3467,42,243,103.0334583,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186,1,62,2.9,652,22.10%,55.00%,1.00s,12Mb
Control-t2,usearch,0.95,184893,1814,48,157,101.9255788,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,1,37,2.2,507,30.50%,61.80%,1.00s,10Mb
GTZ-t1,usearch,0.95,382140,3843,40,269,99.43793911,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,1,1260,4.3,522,22.20%,58.30%,1.00s,11Mb
GTZ-t2,usearch,0.95,152136,1526,41,153,99.69593709,NA,NA,NA,NA,NA,NA,NA,NA,NA,721,1,41,2.1,461,32.80%,63.90%,1.00s,10Mb
Glyphosate-t1,usearch,0.95,514742,5025,41,277,102.4362189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1309,1,264,3.8,713,18.60%,54.50%,1.00s,12Mb
Glyphosate-t2,usearch,0.95,180842,1796,36,128,100.6915367,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,1,41,2.1,571,34.20%,65.80%,1.00s,10Mb
Hao_skin_axillary_hv5,usearch,0.95,1519427,1130,1241,1387,1344.625664,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,1,34,1.1,978,96.90%,96.90%,1.00s,12Mb
Huse_gb_2007_8_7_r143_s2,usearch,0.95,32816656,340150,45,169,96.47701308,NA,NA,NA,NA,NA,NA,NA,NA,NA,2953,1,43353 (43.4k),115.2,1800,7.70%,61.00%,1.00s,91Mb
QuinceArtficialGSFLXClean,usearch,0.95,9138642,34308,200,289,266.3705841,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1,6310,463.6,24,0.20%,32.40%,1.00s,27Mb
QuincePriestPotGSFLXClean,usearch,0.95,4170828,16222,200,303,257.1093577,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,1,2072,21.4,392,4.10%,51.70%,1.00s,18Mb
Youssef,usearch,0.95,1684019,1132,952,1542,1487.649293,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1,2,1,1124,99.60%,99.60%,1.00s,12Mb
60species,usearch,0.97,5887,60,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,2,1,58,98.30%,98.30%,1.00s,7.9Mb
60x50,usearch,0.97,294350,3000,79,106,98.11666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,50,100,50.8,0,0.00%,0.00%,1.00s,8.7Mb
60x50mutinter,usearch,0.97,295469,3000,78,107,98.48966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2626,1,8,1.1,2365,90.10%,90.10%,1.00s,9.2Mb
60x50mutstack,usearch,0.97,295525,3000,78,107,98.50833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2614,1,8,1.1,2343,89.60%,89.60%,1.00s,9.2Mb
Control-t1,usearch,0.97,357217,3467,42,243,103.0334583,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553,1,37,2.2,998,33.80%,64.30%,1.00s,12Mb
Control-t2,usearch,0.97,184893,1814,48,157,101.9255788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026,1,36,1.8,736,44.20%,71.70%,1.00s,11Mb
GTZ-t1,usearch,0.97,382140,3843,40,269,99.43793911,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,1,848,3.3,769,32.70%,65.50%,1.00s,12Mb
GTZ-t2,usearch,0.97,152136,1526,41,153,99.69593709,NA,NA,NA,NA,NA,NA,NA,NA,NA,891,1,37,1.7,646,45.90%,72.50%,1.00s,10Mb
